1|GS18|genshin action|vancuong|baonhan|10
2|LT24|LifelongLearning|education|JohnDewey|EducationPress|15
3|AD50|AdventuresinCoding|technology|GraceHopper|TechWorld|12
4|HS99|HeartoftheSamurai|historical|EijiYoshikawa|JapanClassics|8
5|MY77|MysteriesoftheOcean|science|JacquesCousteau|SeaExplorers|20
6|RW35|RoadtoWellbeing|self-help|BrenéBrown|LifeHarmony|25
7|FN88|TheFutureofAI|technology|AlanTuring|AIPublications|10
8|CL44|ClimbingEverest|adventure|EdmundHillary|MountainTales|7
9|PY99|PythonProgramming101|technology|GuidovanRossum|CodingGuides|30
10|WD11|WorldofDreams|psychology|CarlJung|DreamWorks|18
11|DR22|DeepSpaceExploration|science|NeilArmstrong|AstroPress|18
12|HF66|HealthyLiving|self-help|MarieKondo|LifestylePress|22
13|FD45|FutureDesign|technology|ElonMusk|SpaceTech|12
14|MT12|MasteringChess|strategy|MagnusCarlsen|GameWorld|10
15|BT88|BeyondTime|fantasy|J.K.Rowling|MagicTales|15
16|CL23|ClimateCrisis|environment|GretaThunberg|GreenEarth|17
17|MA99|AncientMythology|history|EdithHamilton|MythClassics|9
18|SP33|SpaceOdyssey|sci-fi|ArthurCClarke|GalaxyPublications|14
19|CR77|CulinaryRecipes|cooking|GordonRamsay|ChefWorld|20
20|TN11|TheNightingale|historical|KristinHannah|NovelPress|8
21|EV56|EverydayMathematics|education|Euclid|MathMasters|16
22|AE98|ArtificialEmotion|sci-fi|IsaacAsimov|RoboticsPress|13
23|PL55|PlanetEarth|nature|DavidAttenborough|NaturePress|11
24|LB47|LightBeyondStars|sci-fi|CarlSagan|CosmosBooks|19
25|HH75|HauntedHollow|horror|StephenKing|ThrillWriters|8
26|PS21|PsychologyOfSuccess|psychology|CarolDweck|MindMasters|24
27|CC43|CreativeCoding|technology|DonaldKnuth|AlgorithmPress|21
28|BS88|BraveSoul|adventure|BearGrylls|SurvivalTales|13
29|TR66|TalesOfRevolution|history|GeorgeOrwell|RebelWriters|10
30|TH54|TheHealingPower|self-help|DeepakChopra|WellnessBooks|18
31|12|ki_thuat_lap_trinh|thay|shoujo|cuong|20
